"","school_district","household_income","household_income_all_households","household_income_all_households_with_earnings","household_income_all_households_with_earnings_with_wages_or_salary_income","household_income_all_households_with_earnings_with_self_employment_income","household_income_all_households_with_interest_dividends_or_net_rental_income","ssi_percent","household_income_all_households_with_supplemental_security_income_ssi","household_income_all_households_with_cash_public_assistance_income_or_food_stamps_snap","household_income_all_households_with_cash_public_assistance_income_or_food_stamps_snap_with_cash_public_assistance","household_income_all_households_with_retirement_income","household_income_all_households_with_other_types_of_income","family_income_by_number_of_workers_in_family","family_income_by_number_of_workers_in_family_all_families","family_income_by_number_of_workers_in_family_all_families_no_workers","family_income_by_number_of_workers_in_family_all_families_1_worker","family_income_by_number_of_workers_in_family_all_families_2_workers_both_spouses_worked","family_income_by_number_of_workers_in_family_all_families_2_workers_other","family_income_by_number_of_workers_in_family_all_families_3_or_more_workers_both_spouses_worked","family_income_by_number_of_workers_in_family_all_families_3_or_more_workers_other","per_capita_income_by_race_and_hispanic_or_latino_origin","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_white","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_black_or_african_american","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_american_indian_and_alaska_native","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_asian","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_native_hawaiian_and_other_pacific_islander","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_some_other_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_two_or_more_races","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_hispanic_or_latino_origin_of_any_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_white_alone_not_hispanic_or_latino","state"
"75","Chino Valley Unified",NA,"58,699","87.7%","85.3%","11.8%","15.6%",23.5,"4.5%","9.7%","3.3%","20.0%","14.2%",NA,"48,999","8.0%","31.8%","30.0%","11.3%","13.9%","4.9%",NA,"193,615",NA,"22.3%","5.2%","0.6%","28.4%","0.1%","22.0%","21.4%","46.6%","17.8%","CA"
"76","Clovis Unified",NA,"80,816","81.2%","78.1%","12.9%","20.0%",25.5,"3.5%","10.5%","2.9%","23.4%","13.8%",NA,"57,509","13.7%","29.7%","34.0%","9.0%","11.3%","2.3%",NA,"236,299",NA,"50.9%","3.5%","1.0%","14.7%","0.2%","10.2%","19.5%","31.7%","45.6%","CA"
"77","Coachella Valley Unified",NA,"26,176","78.0%","74.8%","13.3%","7.8%",30.7,"7.9%","21.9%","6.8%","17.2%","15.0%",NA,"20,167","17.1%","28.7%","25.2%","13.7%","6.0%","9.4%",NA,"76,812",NA,"16.3%","0.3%","1.9%","0.9%","0.5%","39.3%","40.8%","86.8%","10.8%","CA"
"78","Colton Joint Unified",NA,"37,485","84.4%","83.4%","7.7%","8.0%",30.1,"7.2%","17.0%","2.1%","21.9%","17.2%",NA,"28,484","12.0%","34.5%","20.0%","17.7%","7.4%","8.4%",NA,"117,542",NA,"17.8%","9.1%","1.8%","3.8%","1.1%","46.5%","20.0%","71.6%","11.6%","CA"
"79","Compton Unified",NA,"44,934","78.1%","76.3%","7.5%","3.6%",28.5,"8.9%","23.8%","7.4%","19.5%","12.5%",NA,"31,757","14.0%","33.1%","12.1%","19.3%","12.1%","9.4%",NA,"149,195",NA,"5.8%","26.8%","1.1%","1.4%","0.3%","27.2%","37.5%","68.8%","1.2%","CA"
"80","Conejo Valley Unified",NA,"47,385","75.3%","71.1%","17.0%","35.4%",35.4,"5.5%","10.2%","6.2%","31.6%","12.8%",NA,"32,648","16.0%","30.5%","28.8%","8.9%","12.3%","3.4%",NA,"132,402",NA,"61.9%","1.4%","1.2%","9.3%","0.0%","5.6%","20.7%","24.0%","58.5%","CA"
"81","Corona-Norco Unified",NA,"82,067","84.2%","82.0%","11.2%","14.6%",27.1,"4.8%","9.9%","4.3%","21.1%","14.2%",NA,"66,735","10.2%","29.3%","26.2%","13.3%","14.2%","6.9%",NA,"285,498",NA,"35.4%","4.0%","1.2%","15.1%","0.3%","27.2%","16.8%","47.0%","30.2%","CA"
"82","Covina-Valley Unified",NA,"24,366","83.2%","82.4%","10.1%","14.8%",28.9,"5.4%","13.6%","3.7%","18.7%","21.7%",NA,"18,488","12.0%","27.9%","21.2%","15.6%","13.4%","9.8%",NA,"78,313",NA,"18.5%","2.5%","2.0%","17.5%","0.1%","29.7%","29.7%","62.0%","13.3%","CA"
"83","Davis Joint Unified",NA,"28,257","79.8%","76.5%","11.1%","26.3%",18.2,"1.2%","13.8%","2.6%","20.3%","15.3%",NA,"12,912","N","N","N","N","N","N",NA,"77,020",NA,"54.5%","2.3%","1.4%","25.1%","0.1%","3.7%","12.9%","15.4%","51.3%","CA"
"84","Desert Sands Unified",NA,"76,360","61.8%","57.1%","13.7%","22.8%",48.1,"5.3%","14.6%","3.7%","33.1%","15.6%",NA,"48,517","28.0%","32.3%","22.0%","9.5%","6.2%","1.9%",NA,"183,503",NA,"47.6%","2.4%","1.0%","2.7%","0.3%","21.9%","23.9%","48.3%","43.8%","CA"
"85","Downey Unified",NA,"39,323","83.1%","80.1%","12.0%","15.8%",31.5,"9.4%","14.4%","6.2%","17.9%","16.6%",NA,"29,998","11.6%","29.0%","17.5%","22.3%","11.4%","8.1%",NA,"123,125",NA,"20.4%","3.1%","2.3%","8.2%","0.4%","30.7%","34.7%","72.7%","14.1%","CA"
"86","Elk Grove Unified",NA,"108,853","81.4%","79.3%","12.5%","17.6%",33.2,"9.6%","16.1%","5.3%","27.8%","16.0%",NA,"87,741","13.2%","29.7%","26.4%","11.8%","13.0%","5.8%",NA,"368,321",NA,"29.0%","11.3%","0.6%","31.8%","2.4%","10.4%","14.5%","21.4%","26.3%","CA"
"87","Fairfield-Suisun Unified",NA,"46,376","80.5%","78.3%","9.2%","17.1%",29.8,"7.7%","14.3%","6.0%","28.4%","18.6%",NA,"33,416","10.8%","36.4%","23.1%","18.2%","5.9%","5.7%",NA,"140,237",NA,"29.3%","14.5%","0.3%","20.8%","0.9%","16.1%","18.0%","30.5%","26.2%","CA"
"88","Folsom-Cordova Unified",NA,"50,027","78.2%","75.9%","9.6%","22.9%",25.3,"6.1%","9.4%","3.0%","25.0%","13.6%",NA,"34,189","13.2%","31.2%","31.2%","9.1%","13.3%","1.9%",NA,"139,268",NA,"53.0%","8.1%","1.5%","16.1%","0.9%","6.8%","13.7%","16.8%","51.2%","CA"
"89","Fontana Unified",NA,"49,490","90.1%","88.3%","12.1%","8.2%",22.5,"5.1%","15.7%","3.4%","17.1%","15.8%",NA,"41,338","7.0%","29.9%","19.8%","18.3%","11.8%","13.3%",NA,"186,972",NA,"14.9%","6.6%","2.3%","4.3%","0.5%","57.4%","13.9%","78.4%","8.0%","CA"
"90","Fremont Unified",NA,"75,716","86.0%","83.6%","9.0%","49.2%",23.7,"4.1%","9.3%","6.0%","18.6%","9.9%",NA,"58,621","8.2%","32.4%","40.0%","6.6%","10.1%","2.6%",NA,"227,523",NA,"19.6%","2.3%","0.4%","63.0%","1.0%","6.5%","7.2%","10.6%","18.4%","CA"
"91","Fresno Unified",NA,"131,819","75.1%","72.5%","8.1%","9.9%",26.2,"11.3%","30.1%","7.4%","19.3%","16.2%",NA,"85,377","16.2%","38.1%","21.3%","13.5%","5.2%","5.7%",NA,"397,910",NA,"27.6%","6.5%","1.7%","10.5%","0.2%","19.9%","33.5%","56.7%","22.0%","CA"
"92","Garden Grove Unified",NA,"78,081","79.6%","76.6%","14.7%","14.5%",29.6,"10.2%","18.6%","6.1%","19.0%","14.9%",NA,"59,269","14.4%","28.6%","19.4%","13.5%","13.5%","10.6%",NA,"271,207",NA,"23.0%","1.7%","0.8%","44.0%","0.4%","16.6%","13.4%","35.3%","16.0%","CA"
"93","Gilroy Unified",NA,"21,263","85.7%","82.2%","13.3%","28.1%",25.7,"3.3%","8.9%","2.2%","21.6%","14.1%",NA,"16,806","11.3%","37.8%","25.2%","15.0%","4.0%","6.7%",NA,"67,159",NA,"32.9%","1.5%","0.7%","10.8%","0.3%","19.2%","34.5%","55.0%","28.5%","CA"
"94","Glendale Unified",NA,"79,062","78.3%","75.2%","14.5%","16.7%",26.2,"9.9%","20.0%","4.6%","14.3%","14.4%",NA,"53,371","15.7%","29.7%","29.9%","11.2%","9.9%","3.6%",NA,"216,357",NA,"61.3%","1.8%","1.1%","15.4%","0.1%","13.3%","7.1%","20.2%","59.0%","CA"
"95","Hacienda La Puente Unified",NA,"30,084","81.7%","79.1%","11.1%","18.1%",35.5,"9.8%","13.8%","5.9%","18.2%","25.1%",NA,"25,406","16.7%","30.2%","14.6%","14.3%","13.3%","11.0%",NA,"109,628",NA,"12.3%","0.9%","1.7%","26.9%","0.2%","41.5%","16.6%","63.7%","7.1%","CA"
"96","Hayward Unified",NA,"56,654","81.7%","78.2%","8.7%","25.4%",28.4,"5.5%","16.8%","9.0%","22.8%","12.4%",NA,"40,403","8.4%","31.0%","27.5%","14.6%","10.5%","8.0%",NA,"182,149",NA,"19.0%","8.9%","1.1%","28.0%","2.4%","26.8%","13.7%","39.5%","16.6%","CA"
"97","Hemet Unified",NA,"53,633","61.9%","59.0%","9.5%","13.1%",45.7,"8.3%","22.3%","5.2%","30.1%","18.3%",NA,"38,234","28.2%","31.9%","17.8%","12.6%","4.8%","4.8%",NA,"153,155",NA,"44.2%","8.9%","0.5%","3.0%","0.0%","21.3%","22.0%","46.3%","38.7%","CA"
"98","Inglewood Unified",NA,"40,488","81.8%","78.1%","11.3%","9.1%",25.8,"8.8%","19.4%","4.3%","17.0%","18.2%",NA,"24,476","11.9%","35.7%","15.5%","21.6%","8.7%","6.6%",NA,"108,260",NA,"9.0%","47.5%","1.0%","1.3%","0.1%","23.6%","17.5%","42.7%","6.1%","CA"
"99","Jurupa Unified",NA,"27,850","84.3%","82.3%","10.9%","8.6%",25.6,"5.7%","11.7%","4.3%","18.4%","12.2%",NA,"22,514","8.7%","35.0%","19.7%","14.8%","9.2%","12.5%",NA,"105,882",NA,"20.8%","6.6%","1.3%","3.0%","0.1%","55.6%","12.7%","74.1%","14.8%","CA"
"100","Las Virgenes Unified",NA,"23,932","83.2%","80.9%","15.1%","39.7%",28.4,"4.4%","6.8%","4.5%","24.3%","12.4%",NA,"17,893","11.2%","38.1%","31.1%","11.1%","7.1%","1.5%",NA,"66,761",NA,"70.2%","2.6%","0.4%","10.7%","0.0%","0.9%","15.2%","10.9%","67.4%","CA"
"101","Livermore Valley Joint Unified",NA,"32,009","82.1%","78.9%","10.8%","24.7%",26.1,"2.9%","9.3%","3.8%","27.8%","12.8%",NA,"23,282","12.9%","30.5%","32.9%","8.0%","13.3%","2.4%",NA,"88,417",NA,"55.7%","1.1%","1.1%","16.0%","0.6%","9.5%","16.1%","24.4%","50.8%","CA"
"102","Lodi Unified",NA,"62,133","81.4%","78.2%","11.9%","16.2%",31.9,"4.7%","14.5%","4.5%","25.6%","16.2%",NA,"48,017","13.4%","30.1%","27.6%","13.0%","9.6%","6.2%",NA,"200,246",NA,"34.8%","5.7%","1.3%","18.9%","1.4%","12.0%","25.9%","38.5%","31.7%","CA"
"103","Long Beach Unified",NA,"189,977","81.8%","78.3%","13.7%","15.4%",23.6,"5.6%","17.1%","6.0%","16.1%","16.3%",NA,"113,173","12.8%","32.7%","26.5%","14.1%","8.3%","5.7%",NA,"503,086",NA,"38.5%","10.4%","2.1%","15.3%","0.4%","17.3%","15.9%","41.6%","28.0%","CA"
"104","Los Angeles Unified",NA,"1,633,047","82.0%","77.0%","16.7%","15.9%",23.7,"7.1%","19.1%","6.6%","14.5%","17.0%",NA,"985,169","11.3%","33.7%","23.1%","15.6%","8.2%","8.1%",NA,"4,583,874",NA,"29.5%","8.4%","1.6%","11.3%","0.2%","29.5%","19.6%","51.4%","25.1%","CA"
"105","Lucia Mar Unified",NA,"32,164","68.2%","66.3%","12.7%","33.6%",42.3,"5.3%","10.7%","3.1%","35.1%","18.6%",NA,"21,880","N","N","N","N","N","N",NA,"80,302",NA,"68.9%","1.5%","0.0%","2.4%","0.1%","6.7%","20.4%","26.6%","63.1%","CA"
"106","Madera Unified",NA,"24,843","76.1%","71.9%","8.6%","9.6%",30.1,"12.0%","26.5%","8.0%","18.0%","19.3%",NA,"19,366","17.5%","37.3%","11.9%","18.4%","8.4%","6.5%",NA,"93,909",NA,"23.3%","1.7%","1.2%","1.5%","0.1%","44.1%","28.1%","80.5%","13.4%","CA"
"107","Manteca Unified",NA,"40,537","79.5%","77.0%","10.1%","15.1%",30.2,"5.6%","12.0%","4.6%","24.9%","22.1%",NA,"31,462","11.9%","32.4%","24.1%","12.9%","10.1%","8.5%",NA,"137,895",NA,"37.2%","5.9%","1.2%","18.0%","0.5%","14.2%","23.0%","39.4%","32.7%","CA"
"108","Marysville Joint Unified",NA,"22,356","75.9%","72.3%","12.5%","13.8%",38.7,"11.4%","31.4%","8.8%","19.1%","17.1%",NA,"16,483","19.7%","43.3%","11.5%","11.3%","6.3%","8.0%",NA,"65,147",NA,"48.3%","2.2%","3.4%","10.4%","0.1%","14.4%","21.2%","34.3%","46.6%","CA"
"109","Milpitas Unified",NA,"22,896","87.0%","85.8%","7.9%","28.0%",20,"7.9%","8.5%","3.9%","17.8%","14.2%",NA,"17,999","6.9%","29.9%","32.8%","10.0%","12.5%","8.0%",NA,"77,166",NA,"11.0%","1.0%","0.6%","71.9%","0.5%","6.2%","8.8%","13.6%","9.9%","CA"
"110","Montebello Unified",NA,"45,746","82.6%","80.0%","10.6%","10.7%",30.3,"8.6%","22.1%","4.8%","14.4%","24.3%",NA,"35,802","11.8%","31.5%","14.2%","20.6%","11.6%","10.3%",NA,"163,415",NA,"11.6%","0.6%","3.8%","10.6%","0.0%","42.1%","31.2%","83.8%","3.9%","CA"
"111","Monterey Peninsula Unified",NA,"35,628","79.0%","77.1%","10.4%","23.1%",27.5,"3.7%","12.8%","6.0%","25.9%","21.0%",NA,"21,459","16.2%","28.1%","30.6%","16.2%","5.2%","3.8%",NA,"96,829",NA,"48.8%","5.0%","0.4%","12.9%","1.4%","16.7%","14.9%","29.8%","43.5%","CA"
"112","Moreno Valley Unified",NA,"46,425","84.9%","83.3%","8.5%","8.9%",25.4,"5.9%","14.7%","5.4%","18.7%","19.4%",NA,"38,582","11.2%","32.6%","18.3%","19.6%","10.3%","8.0%",NA,"179,129",NA,"16.5%","14.7%","1.4%","4.6%","0.9%","41.2%","20.7%","63.1%","13.7%","CA"
"113","Morgan Hill Unified",NA,"21,541","84.9%","82.2%","15.7%","35.2%",30.2,"3.6%","10.8%","4.5%","22.8%","11.6%",NA,"16,861","10.9%","34.1%","34.3%","9.9%","7.2%","3.6%",NA,"65,336",NA,"48.3%","0.4%","1.7%","17.2%","0.0%","9.8%","22.6%","33.9%","43.5%","CA"
"114","Morongo Unified",NA,"27,790","74.0%","68.4%","9.5%","17.7%",32.6,"6.6%","17.3%","2.7%","21.2%","16.6%",NA,"15,823","N","N","N","N","N","N",NA,"73,022",NA,"65.3%","5.3%","1.3%","4.2%","0.5%","3.5%","19.9%","21.3%","61.0%","CA"
"115","Mount Diablo Unified",NA,"99,795","80.6%","78.4%","14.1%","25.4%",28.1,"5.0%","11.3%","4.5%","25.9%","16.7%",NA,"69,722","11.7%","30.5%","32.4%","12.3%","8.7%","4.5%",NA,"266,683",NA,"49.1%","5.2%","1.1%","15.4%","0.3%","11.8%","17.0%","26.2%","45.5%","CA"
"116","Napa Valley Unified",NA,"42,734","78.1%","74.8%","11.5%","26.8%",34.7,"5.5%","11.1%","5.8%","28.3%","14.6%",NA,"29,395","14.1%","30.0%","29.2%","9.7%","12.3%","4.7%",NA,"117,666",NA,"55.1%","2.1%","2.0%","9.5%","0.1%","13.5%","17.7%","35.5%","48.8%","CA"
"117","New Haven Unified",NA,"22,953","85.8%","83.4%","10.3%","32.6%",29.5,"4.0%","11.2%","7.9%","23.4%","15.5%",NA,"18,335","11.7%","30.1%","29.0%","10.2%","12.5%","6.5%",NA,"73,094",NA,"16.1%","5.2%","1.2%","53.2%","0.7%","12.1%","11.6%","24.7%","12.7%","CA"
"118","Newport-Mesa Unified",NA,"81,841","81.5%","76.0%","19.6%","31.2%",24.8,"2.8%","8.5%","5.3%","17.8%","12.3%",NA,"48,104","13.0%","32.9%","33.7%","11.6%","6.2%","2.7%",NA,"194,860",NA,"60.8%","1.5%","0.7%","10.4%","0.0%","11.5%","15.2%","23.7%","59.4%","CA"
"119","Norwalk-La Mirada Unified",NA,"32,666","83.4%","81.1%","9.3%","16.6%",29.9,"7.7%","15.5%","5.4%","20.3%","17.3%",NA,"26,556","11.7%","22.3%","23.1%","18.6%","16.2%","8.2%",NA,"118,424",NA,"18.0%","2.7%","4.0%","14.9%","0.0%","37.9%","22.5%","69.0%","11.2%","CA"
"120","Oakland Unified",NA,"170,082","79.6%","75.0%","16.0%","21.5%",22.8,"6.8%","18.3%","6.7%","18.1%","13.4%",NA,"93,753","11.1%","33.4%","31.4%","13.2%","5.9%","5.0%",NA,"432,832",NA,"30.1%","20.7%","1.5%","16.4%","0.3%","19.1%","11.9%","27.1%","28.3%","CA"
"121","Oceanside Unified",NA,"47,706","81.6%","79.3%","10.0%","15.2%",21.8,"5.9%","10.5%","2.4%","19.7%","21.0%",NA,"30,636","13.0%","36.3%","28.0%","9.7%","6.6%","6.5%",NA,"137,826",NA,"41.9%","4.8%","1.2%","6.7%","0.4%","14.2%","30.9%","45.4%","37.9%","CA"
"122","Orange Unified",NA,"72,277","83.1%","81.2%","15.4%","23.9%",30.3,"4.5%","11.7%","4.9%","22.9%","15.7%",NA,"54,172","11.3%","27.2%","29.9%","12.5%","11.6%","7.4%",NA,"226,372",NA,"48.3%","1.6%","0.9%","13.1%","0.2%","17.3%","18.6%","40.2%","39.6%","CA"
"123","Pajaro Valley Joint Unified",NA,"33,991","79.6%","74.7%","16.0%","23.5%",39.7,"5.9%","18.7%","1.5%","27.7%","15.4%",NA,"25,999","13.0%","27.8%","27.4%","11.8%","12.5%","7.5%",NA,"107,320",NA,"33.8%","0.6%","3.1%","3.0%","0.0%","39.4%","20.1%","63.4%","29.3%","CA"
"124","Palm Springs Unified",NA,"73,960","63.5%","59.0%","12.2%","22.4%",41.3,"6.5%","16.1%","4.5%","26.6%","15.2%",NA,"42,297","26.4%","32.7%","23.8%","7.3%","5.7%","4.1%",NA,"174,948",NA,"47.1%","4.2%","1.2%","5.3%","0.3%","20.6%","21.2%","46.9%","41.5%","CA"
"125","Palo Alto Unified",NA,"28,406","77.6%","75.6%","15.8%","45.3%",27.1,"1.5%","5.1%","4.8%","20.6%","8.6%",NA,"19,823","N","N","N","N","N","N",NA,"86,393",NA,"46.4%","2.1%","0.6%","32.6%","0.3%","7.9%","10.0%","13.9%","44.9%","CA"
"126","Paramount Unified",NA,"21,167","86.0%","82.5%","13.4%","6.7%",26.9,"6.4%","21.9%","5.0%","16.0%","19.7%",NA,"16,951","10.1%","31.2%","18.1%","19.1%","8.0%","13.6%",NA,"77,609",NA,"13.3%","12.7%","6.0%","6.3%","0.4%","38.5%","22.8%","75.3%","5.2%","CA"
"127","Pasadena Unified",NA,"81,380","80.4%","73.6%","21.6%","27.8%",23.6,"4.3%","10.1%","3.7%","20.2%","12.9%",NA,"47,529","12.1%","30.3%","34.8%","10.3%","6.8%","5.7%",NA,"201,911",NA,"40.2%","9.8%","0.9%","15.5%","0.2%","18.2%","15.1%","32.3%","35.9%","CA"
"128","Pittsburg Unified",NA,"20,268","83.3%","81.6%","7.5%","10.8%",25,"7.0%","24.6%","7.7%","21.7%","17.9%",NA,"15,205","11.5%","27.1%","19.9%","17.9%","13.0%","10.7%",NA,"65,590",NA,"18.5%","11.7%","1.9%","15.6%","0.0%","30.8%","21.6%","55.9%","14.2%","CA"
"129","Placentia-Yorba Linda Unified",NA,"55,333","77.5%","74.9%","14.6%","26.4%",31.1,"5.1%","10.4%","3.7%","26.4%","14.4%",NA,"41,453","14.7%","25.3%","29.4%","12.9%","11.5%","6.3%",NA,"164,688",NA,"46.2%","2.6%","0.3%","18.9%","0.2%","11.1%","20.6%","32.4%","42.0%","CA"
"130","Pomona Unified",NA,"44,660","81.2%","77.9%","11.6%","13.0%",24.6,"7.4%","17.8%","5.7%","14.5%","26.7%",NA,"34,904","11.7%","28.2%","19.5%","15.8%","13.8%","10.9%",NA,"166,047",NA,"14.2%","6.1%","3.0%","14.3%","0.1%","33.7%","28.6%","68.2%","9.3%","CA"
"131","Poway Unified",NA,"73,007","81.8%","79.2%","10.0%","30.7%",25.9,"3.8%","6.9%","3.1%","25.0%","12.7%",NA,"57,814","13.7%","32.0%","38.7%","6.0%","7.7%","1.9%",NA,"215,155",NA,"57.7%","2.0%","0.9%","22.5%","0.2%","3.9%","12.8%","11.6%","56.1%","CA"
"132","Redlands Unified",NA,"46,396","80.5%","77.7%","7.8%","16.0%",26.1,"4.6%","11.5%","3.8%","23.1%","13.1%",NA,"30,864","14.7%","30.3%","29.6%","12.9%","6.1%","6.3%",NA,"138,029",NA,"42.5%","4.1%","1.6%","10.5%","2.3%","21.5%","17.6%","43.8%","35.6%","CA"
"133","Rialto Unified",NA,"36,326","84.4%","83.4%","5.6%","5.1%",27.7,"6.2%","21.3%","2.7%","17.8%","16.9%",NA,"29,932","8.6%","43.7%","16.7%","12.2%","13.6%","5.3%",NA,"129,732",NA,"11.9%","10.7%","1.0%","2.3%","0.2%","52.4%","21.4%","77.2%","7.2%","CA"
"134","West Contra Costa Unified",NA,"89,223","80.8%","77.6%","14.5%","23.6%",32.1,"6.7%","16.6%","5.1%","26.2%","15.5%",NA,"62,642","12.4%","32.0%","26.1%","13.2%","9.3%","7.0%",NA,"254,766",NA,"26.2%","14.8%","2.0%","18.9%","0.8%","21.0%","16.2%","35.5%","24.1%","CA"
"135","Riverside Unified",NA,"76,945","83.2%","80.2%","10.0%","12.4%",25,"3.9%","12.0%","3.2%","21.0%","16.6%",NA,"55,290","12.0%","32.1%","26.4%","13.1%","10.4%","5.9%",NA,"258,345",NA,"36.1%","7.0%","0.8%","7.9%","0.4%","29.4%","18.5%","50.5%","30.6%","CA"
"136","Rowland Unified",NA,"31,001","80.4%","75.9%","15.0%","16.3%",32.5,"8.5%","14.9%","4.1%","19.2%","19.4%",NA,"25,154","14.6%","27.1%","17.4%","15.8%","14.7%","10.4%",NA,"105,678",NA,"8.5%","1.4%","2.3%","44.9%","0.0%","31.9%","11.0%","49.4%","4.9%","CA"
"137","Sacramento City Unified",NA,"142,907","76.8%","74.5%","10.1%","20.0%",28.3,"8.6%","17.1%","5.9%","23.0%","13.1%",NA,"76,325","16.4%","31.5%","28.2%","10.3%","8.1%","5.5%",NA,"354,670",NA,"40.9%","9.6%","1.6%","16.5%","1.7%","14.1%","15.6%","29.9%","36.5%","CA"
"138","Saddleback Valley Unified",NA,"83,982","76.6%","73.3%","13.9%","30.7%",33.4,"3.5%","7.4%","3.9%","27.2%","14.0%",NA,"58,430","15.5%","30.5%","32.5%","7.9%","10.7%","2.9%",NA,"218,851",NA,"58.9%","1.9%","0.5%","16.3%","0.2%","7.8%","14.4%","19.7%","56.7%","CA"
"139","San Bernardino City Unified",NA,"76,211","80.8%","78.5%","9.8%","6.9%",24.9,"10.6%","25.9%","6.5%","17.2%","15.0%",NA,"56,271","14.7%","33.6%","20.4%","15.6%","7.0%","8.6%",NA,"265,594",NA,"21.4%","12.1%","2.2%","3.1%","0.1%","42.5%","18.5%","68.2%","14.2%","CA"
"140","San Diego City Unified",NA,"415,558","82.9%","80.2%","11.3%","22.2%",21.7,"4.2%","13.0%","4.9%","19.7%","15.1%",NA,"224,075","13.0%","31.3%","33.7%","9.8%","7.7%","4.5%",NA,"1,061,865",NA,"47.6%","6.6%","0.9%","16.2%","0.6%","11.0%","17.2%","28.1%","42.7%","CA"
"141","San Francisco Unified",NA,"350,796","79.5%","76.5%","13.1%","30.1%",25.6,"7.0%","14.9%","5.3%","18.2%","11.8%",NA,"170,287","13.7%","28.8%","38.3%","8.9%","6.5%","3.8%",NA,"815,201",NA,"39.0%","5.3%","0.5%","35.5%","0.3%","7.7%","11.7%","15.7%","37.1%","CA"
"142","San Jose Unified",NA,"93,068","83.3%","81.3%","12.1%","32.0%",23.3,"4.4%","9.7%","4.0%","19.6%","11.8%",NA,"60,879","9.7%","32.2%","33.7%","12.0%","8.3%","4.1%",NA,"260,851",NA,"39.5%","3.9%","1.3%","22.1%","0.2%","13.8%","19.2%","33.4%","35.5%","CA"
"143","San Juan Unified",NA,"142,874","76.4%","72.8%","10.9%","21.6%",30.2,"6.5%","15.3%","6.4%","26.5%","16.1%",NA,"86,060","16.3%","35.0%","29.3%","10.1%","6.6%","2.7%",NA,"353,439",NA,"65.3%","6.9%","0.8%","7.5%","0.1%","7.7%","11.8%","17.2%","62.2%","CA"
"144","San Leandro Unified",NA,"25,579","78.5%","76.2%","12.1%","20.1%",29.8,"5.0%","15.6%","6.8%","21.6%","14.6%",NA,"16,508","10.2%","32.9%","24.0%","11.0%","11.9%","9.9%",NA,"74,078",NA,"25.7%","12.4%","1.5%","30.9%","0.7%","16.1%","12.7%","29.4%","21.3%","CA"
"145","San Lorenzo Unified",NA,"26,665","77.7%","74.7%","7.7%","16.5%",30.4,"6.9%","16.6%","8.8%","26.6%","18.4%",NA,"17,826","11.7%","36.4%","22.7%","13.2%","10.6%","5.4%",NA,"78,525",NA,"21.0%","12.1%","1.5%","31.8%","0.7%","20.9%","11.9%","34.7%","17.9%","CA"
"146","San Luis Coastal Unified",NA,"34,604","74.7%","69.6%","15.5%","28.9%",32,"5.0%","6.6%","1.7%","27.6%","18.5%",NA,"17,555","23.7%","31.8%","34.0%","6.3%","3.0%","1.2%",NA,"91,055",NA,"75.0%","1.8%","0.4%","6.4%","0.6%","3.9%","11.9%","15.6%","72.0%","CA"
"147","San Marcos Unified",NA,"46,996","77.2%","71.8%","14.7%","22.2%",27.7,"3.4%","9.5%","3.7%","21.6%","15.4%",NA,"33,782","15.5%","34.8%","33.8%","7.5%","5.1%","3.4%",NA,"128,855",NA,"54.9%","1.8%","1.5%","10.2%","0.1%","6.9%","24.7%","35.8%","46.2%","CA"
"148","San Ramon Valley Unified",NA,"56,483","83.1%","80.0%","16.2%","39.9%",24.7,"2.2%","3.9%","2.9%","24.8%","10.4%",NA,"45,307","12.4%","29.6%","36.5%","10.6%","10.2%","0.7%",NA,"162,690",NA,"50.2%","2.2%","0.2%","35.7%","0.0%","2.3%","9.4%","9.1%","48.2%","CA"
"149","Santa Ana Unified",NA,"63,207","89.0%","86.0%","18.1%","10.1%",22.8,"5.1%","15.8%","6.9%","13.6%","15.2%",NA,"49,893","9.0%","24.3%","21.1%","19.3%","12.2%","14.2%",NA,"241,346",NA,"18.6%","0.9%","1.7%","10.4%","0.1%","51.9%","16.4%","76.9%","10.8%","CA"
"150","Santa Clara Unified",NA,"66,357","88.2%","86.7%","8.1%","28.6%",16,"2.0%","7.3%","4.2%","13.8%","8.7%",NA,"42,092","6.4%","33.2%","38.0%","9.7%","7.5%","5.2%",NA,"171,286",NA,"32.0%","2.2%","0.2%","47.4%","0.0%","8.1%","10.0%","15.1%","30.3%","CA"
"151","Santa Monica-Malibu Unified",NA,"51,470","79.8%","72.8%","22.9%","30.4%",21.3,"5.6%","10.3%","5.2%","12.6%","10.1%",NA,"22,373","10.2%","34.2%","40.4%","8.1%","5.5%","1.5%",NA,"108,886",NA,"62.2%","4.2%","1.1%","8.8%","0.0%","7.8%","15.9%","18.8%","59.9%","CA"
